id;full_name;email;password_hash;role;created_at;updated_at
1;nephew distorted;PhuongTrach.Pham@yahoo.com;crystallize obediently supposingXXXXXXXXXXXXXXXXXXXXXXXXXXXX;ADMIN;2025-09-05T10:55:58;2025-09-06T02:15:05
2;a pity;ThuyAnh_Mai@hotmail.com;because menacingXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;ADMIN;2025-09-05T14:14:21;2025-09-05T16:28:56
3;rue indeed;LocUyen62@yahoo.com;fooeyXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;ADMIN;2025-09-06T00:04:49;2025-09-05T08:32:27
4;consequently formula;TamTrang.Hoang53@gmail.com;toothXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;USER;2025-09-05T17:58:18;2025-09-05T05:08:26
5;that;LapNghiep_Le51@yahoo.com;woot bitterlyXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;USER;2025-09-06T02:10:47;2025-09-05T18:32:33
6;er swim;TrongHung2@yahoo.com;scarificationXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;ADMIN;2025-09-05T03:59:41;2025-09-05T17:52:59
7;but save epic;KieuMinh.7kao44@hotmail.com;hope deprave ughXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;USER;2025-09-05T22:33:56;2025-09-05T04:00:52
8;handy;BaoHuynh.Hoang43@yahoo.com;yum times howXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;ADMIN;2025-09-05T12:46:04;2025-09-05T18:32:34
9;aha how drat;ThanhChau_Mai77@yahoo.com;insteadXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;ADMIN;2025-09-05T04:56:00;2025-09-06T02:17:04
10;unto;MinhMan.Duong@hotmail.com;woot correctly stintXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;ADMIN;2025-09-05T19:49:10;2025-09-05T10:07:12
